weapon_used	weapon_result	charge	location_major_comm	location_comm	date_of_occurrence	time_of_occurrance	disposition	status	towncode	day_occur	armedrob	burglary	aggassault	simpleassault	sexual	domestic_phys	domestic_verbal	land	land_violent	mob	riot	murder	other	year	month
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"PAYNESVILLE"	"GSA COMMUNITY"	"6/2/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	5002	"2017-06-02"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"GSA COMMUNITY"	"6/16/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	5002	"2017-06-16"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"RAPE"	"PAYNESVILLE"	"POLICE ACADEMY "	"6/16/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	5010	"2017-06-16"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"INTERFERING WITH CHILD CUSTODY"	"BUSHROD ISLAND"	"THUMBS UP COMMUNITY"	"6/6/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	7007	"2017-06-06"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"NEW GEORGIA COMMUNITY"	"6/9/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	4020	"2017-06-09"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"6/10/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED "	8005	"2017-06-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"THINKER VILLAGE COMMUNITY"	"6/11/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED "	8013	"2017-06-11"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"CRIMINAL COERCION"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"6/14/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED "	5002	"2017-06-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/2/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"CRIMINAL MISCHIEF"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/2/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/7/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-07"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/8/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"MENACING"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/8/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/8/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"CRIMINAL MISCHIEF"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/13/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED "	5014	"2017-06-13"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NILL "	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/14/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED "	5014	"2017-06-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"BURGLARY"	"CONGO TOWN"	"PEACE ISLAND COMMUNITY"	"6/10/2017"	"00:00 AM - 03:00 AM"	"PENDING"	"COMPLETED "	3000	"2017-06-10"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NIL"	"MANSLAUGHTER"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/9/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED "	10004	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"ENDANGERING CHILD WELFEAR"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"6/2/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED "	2001	"2017-06-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"SIMPLE ASSAULT"	"CENTRAL MONROVIA"	"BASSA COMMUNITY"	"6/3/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED "	2037	"2017-06-03"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NIL"	"RAPE"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"6/14/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED "	2001	"2017-06-14"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NIL"	"RAPE"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"6/15/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED "	2001	"2017-06-15"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NIL"	"CRIMINAL COERCION"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/9/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED "	10004	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/8/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED "	10004	"2017-06-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/18/2017"	"06:00 PM - 09:00 PM"	"PENDING"	"COMPLETED "	10004	"2017-06-18"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NILL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/20/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED "	10004	"2017-06-20"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NILL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/22/2017"	"06:00 PM - 09:00 PM"	"PENDING"	"COMPLETED "	10004	"2017-06-22"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"NEW GEORGIA COMMUNITY"	"7/5/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	4020	"2017-07-05"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"LOUISANA COMMUNITY"	"7/4/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	7002	"2017-07-04"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"NORTH ROAD COMMUNITY"	"7/15/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	7003	"2017-07-15"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"7/8/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5002	"2017-07-08"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"MORRIS' FARM COMMUNITY"	"7/17/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	9021	"2017-07-17"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/15/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/9/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5014	"2017-07-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/10/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5014	"2017-07-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"LOUISANA COMMUNITY"	"7/4/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	7002	"2017-07-04"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/3/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/4/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-04"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/9/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-09"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/10/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-10"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"6/3/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	5014	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/14/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	5014	"2017-07-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/14/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	5014	"2017-07-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/15/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-07-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"7/15/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	5014	"2017-07-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	7
